id,name,common_name,active_substance,therapeutic_area,group
22,Tyverb,lapatinib,lapatinib,Breast Neoplasms,Protein kinase inhibitors
23,Enzalutamide Viatris,enzalutamide,enzalutamide,Prostatic Neoplasms,Endocrine therapy
24,Pyzchiva,ustekinumab,ustekinumab,"Crohn Disease;Colitis, Ulcerative;Arthritis, Psoriatic",Immunosuppressants
25,Amlodipine  / Valsartan Mylan,amlodipine;valsartan,Amlodipine besilate;valsartan,Hypertension,Agents acting on the renin-angiotensin system
26,Akynzeo,netupitant;palonosetron,netupitant;palonosetron hydrochloride,Vomiting;Neoplasms;Nausea;Cancer,Antiemetics and antinauseants
27,Symkevi,tezacaftor;ivacaftor,tezacaftor;ivacaftor,Cystic Fibrosis,Other respiratory system products
28,Comirnaty,COVID-19 mRNA vaccine;tozinameran;riltozinameran and tozinameran;famtozinameran and tozinameran;raxtozinameran,"Single-stranded, 5?-capped messenger RNA produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2",COVID-19 virus infection,Vaccines
29,Oxbryta,Voxelotor,Voxelotor,"Anemia;Anemia, Hemolytic;Anemia, Sickle Cell",Other hematological agents
30,Nuvaxovid,"COVID-19 Vaccine (recombinant, adjuvanted)",SARS CoV-2 (Original) recombinant spike protein;SARS-CoV-2 (Omicron XBB.1.5) recombinant spike protein,COVID-19 virus infection,Covid-19 vaccines
31,Orphacol,cholic acid,cholic acid,"Digestive System Diseases;Metabolism, Inborn Errors",Bile acids and derivatives
32,Axumin,fluciclovine (18F),Fluciclovine (18F),Prostatic Neoplasms;Radionuclide Imaging,Diagnostic radiopharmaceuticals
33,Effentora,fentanyl,fentanyl,Pain;Cancer,Analgesics
34,Remicade,infliximab,infliximab,"Spondylitis, Ankylosing;Arthritis, Rheumatoid;Psoriasis;Crohn Disease;Arthritis, Psoriatic;Colitis, Ulcerative",Immunosuppressants
35,Veyvondi,vonicog alfa,vonicog alfa,von Willebrand Diseases,Antihemorrhagics
36,Irbesartan Zentiva (previously Irbesartan Winthrop),irbesartan,irbesartan,Hypertension,Agents acting on the renin-angiotensin system
37,Fampyra,fampridine,Fampridine,Multiple Sclerosis,Other nervous system drugs
38,Amgevita,adalimumab,adalimumab,"Arthritis, Psoriatic;Colitis, Ulcerative;Arthritis, Juvenile Rheumatoid;Spondylitis, Ankylosing;Psoriasis;Crohn Disease;Arthritis, Rheumatoid",Immunosuppressants
39,Fabhalta,Iptacopan,Iptacopan hydrochloride monohydrate,"Hemoglobinuria, Paroxysmal",Immunosuppressants
40,Elucirem,Gadopiclenol,Gadopiclenol,Magnetic Resonance Imaging,Paramagnetic contrast media
41,Ogluo,glucagon,Glucagon,Diabetes Mellitus,Pancreatic hormones;Glycogenolytic hormones
42,Quviviq,daridorexant,daridorexant hydrochloride,Sleep Initiation and Maintenance Disorders,Psycholeptics
43,Slenyto,melatonin,melatonin,Sleep Initiation and Maintenance Disorders;Autistic Disorder,Psycholeptics
44,Neofordex,dexamethasone,dexamethasone,Multiple Myeloma,Corticosteroids for systemic use
45,Yuvanci,macitentan;tadalafil,Macitentan;tadalafil,Pulmonary Arterial Hypertension,Antihypertensives
46,Beyfortus,nirsevimab,nirsevimab,,Immune sera and immunoglobulins
47,Fymskina,ustekinumab,ustekinumab,"Crohn Disease;Colitis, Ulcerative;Psoriasis;Arthritis, Psoriatic",Immunosuppressants
48,Imatinib Accord,imatinib,imatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma;Dermatofibrosarcoma;Myelodysplastic-Myeloproliferative Diseases;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Hypereosinophilic Syndrome",imatinib
49,Myalepta,metreleptin,Metreleptin,"Lipodystrophy, Familial Partial",Other alimentary tract and metabolism products
50,Zoledronic acid Mylan,zoledronic acid,zoledronic acid,"Fractures, Bone",Drugs for treatment of bone diseases
51,Striascan,ioflupane (123l),ioflupane (123l),Radionuclide Imaging;Dementia;Movement Disorders,Diagnostic radiopharmaceuticals
52,PritorPlus,telmisartan;hydrochlorothiazide,Telmisartan;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
53,MicardisPlus,,Telmisartan;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
54,Otulfi,ustekinumab,ustekinumab,"Crohn Disease;Colitis, Ulcerative",Immunosuppressants
55,Evrysdi,risdiplam,Risdiplam,"Muscular Atrophy, Spinal",Other drugs for disorders of the musculo-skeletal system
56,SomaKit TOC,edotreotide,edotreotide,Neuroendocrine Tumors;Radionuclide Imaging,Diagnostic radiopharmaceuticals
57,Locametz,gozetotide,gozetotide,Radionuclide Imaging,Diagnostic radiopharmaceuticals
58,Ilumetri,tildrakizumab,tildrakizumab,Psoriasis,Immunosuppressants;Interleukin inhibitors
59,Dacogen,decitabine,decitabine,"Leukemia, Myeloid",Antineoplastic agents
60,Simponi,golimumab,Golimumab,"Arthritis, Psoriatic;Spondylitis, Ankylosing;Colitis, Ulcerative;Arthritis, Rheumatoid",Immunosuppressants
61,Kaftrio,ivacaftor;tezacaftor;elexacaftor,ivacaftor;tezacaftor;elexacaftor,Cystic Fibrosis,Other respiratory system products
62,Celsentri,maraviroc,maraviroc,HIV Infections,Antivirals for systemic use
63,Rinvoq,upadacitinib,upadacitinib,"Arthritis, Rheumatoid",Immunosuppressants
64,Signifor,pasireotide,pasireotide,Acromegaly;Pituitary ACTH Hypersecretion,Pituitary and hypothalamic hormones and analogues
65,Axitinib Accord,axitinib,axitinib,"Carcinoma, Renal Cell",Antineoplastic agents
66,Viekirax,ombitasvir;paritaprevir;ritonavir,Ombitasvir;paritaprevir;ritonavir,"Hepatitis C, Chronic",Antivirals for systemic use
67,Exviera,dasabuvir,dasabuvir sodium,"Hepatitis C, Chronic",Antivirals for systemic use
68,Dupixent,dupilumab,dupilumab,"Dermatitis, Atopic;Prurigo;Esophageal Diseases;Asthma;Sinusitis","Agents for dermatitis, excluding corticosteroids"
69,Zynlonta,loncastuximab tesirine,loncastuximab tesirine,"Lymphoma, Large B-Cell, Diffuse;Lymphoma, B-Cell",Antineoplastic agents
70,Benlysta,belimumab,belimumab,"Lupus Erythematosus, Systemic",Immunosuppressants
71,Cresemba,isavuconazole,isavuconazole,Aspergillosis,Antimycotics for systemic use;Triazole derivatives
72,Imatinib Teva,imatinib,imatinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Precursor Cell Lymphoblastic Leukemia-Lymphoma;Myelodysplastic-Myeloproliferative Diseases;Hypereosinophilic Syndrome;Dermatofibrosarcoma",Antineoplastic agents;Protein kinase inhibitors
73,Esmya,ulipristal,ulipristal acetate,Leiomyoma,Sex hormones and modulators of the genital system
74,Rapamune,sirolimus,Sirolimus,Graft Rejection;Kidney Transplantation,Immunosuppressants
75,Pheburane,sodium phenylbutyrate,Sodium phenylbutyrate,Carbamoyl-Phosphate Synthase I Deficiency Disease,Various alimentary tract and metabolism products
76,Imcivree,setmelanotide,Setmelanotide,Obesity,"Antiobesity preparations, excl. diet products"
77,Baqsimi,glucagon,Glucagon,Diabetes Mellitus,Pancreatic hormones;Glycogenolytic hormones
78,Trulicity,dulaglutide,dulaglutide,"Diabetes Mellitus, Type 2","Drugs used in diabetes;Blood glucose lowering drugs, excl. insulins"
79,Dificlir,fidaxomicin,fidaxomicin,Clostridium Infections,"Antidiarrheals, intestinal antiinflammatory / antiinfective agents"
80,Takhzyro,lanadelumab,lanadelumab,"Angioedemas, Hereditary",Other hematological agents
81,Zercepac,trastuzumab,trastuzumab,Breast Neoplasms;Stomach Neoplasms,Antineoplastic agents
82,Enspryng,satralizumab,satralizumab,Neuromyelitis Optica,Immunosuppressants
83,Colobreathe,colistimethate sodium,Colistimethate sodium,Cystic Fibrosis,Antibacterials for systemic use
84,Kinharto,Omecamtiv mecarbil,Omecamtiv mecarbil dihydrochloride hydrate,"Heart Failure, Systolic",Cardiac therapy
85,Hycamtin,topotecan,topotecan,Ovarian Neoplasms;Uterine Cervical Neoplasms;Small Cell Lung Carcinoma,Antineoplastic agents
86,Kinpeygo,budesonide,"budesonide, micronised","Glomerulonephritis, IGA","Antidiarrheals, intestinal antiinflammatory / antiinfective agents"
87,Epidyolex,cannabidiol,Cannabidiol,"Lennox Gastaut Syndrome;Epilepsies, Myoclonic",Antiepileptics
88,Pluvicto,lutetium (177Lu) vipivotide tetraxetan,lutetium (177Lu) vipivotide tetraxetan,"Prostatic Neoplasms, Castration-Resistant",Therapeutic radiopharmaceuticals
89,Lutathera,lutetium (177Lu) oxodotreotide,lutetium (177Lu) oxodotreotide,Neuroendocrine Tumors,Other therapeutic radiopharmaceuticals
90,Retsevmo,selpercatinib,Selpercatinib,"Carcinoma, Non-Small-Cell Lung;Thyroid Neoplasms",Antineoplastic agents
91,Moventig,naloxegol,naloxegol oxalate,Constipation;Opioid-Related Disorders,Peripheral opioid receptor antagonists;Drugs for constipation
92,Sunlenca,lenacapavir,Lenacapavir sodium,HIV Infections,Antivirals for systemic use
93,Dabigatran etexilate Teva (previously Dabigatran etexilate Leon Farma),dabigatran etexilate,Dabigatran etexilate mesilate,"Venous Thromboembolism;Arthroplasty, Replacement",Antithrombotic agents
94,Optruma,raloxifene,raloxifene hydrochloride,"Osteoporosis, Postmenopausal",Sex hormones and modulators of the genital system
95,Cinryze,C1 inhibitor (human),C1 inhibitor (human),"Angioedemas, Hereditary","c1-inhibitor, plasma derived;Drugs used in hereditary angioedema"
96,Casgevy,Exagamglogene autotemcel,Exagamglogene autotemcel,"beta-Thalassemia;Anemia, Sickle Cell",Other hematological agents
97,Vumerity,diroximel fumarate,Diroximel fumarate (BIIB098),"Multiple Sclerosis, Relapsing-Remitting",Immunosuppressants
98,Giapreza,angiotensin II,Angiotensin II acetate,Hypotension;Shock,Agents acting on the renin-angiotensin system
99,Tuznue,trastuzumab,trastuzumab,Breast Neoplasms,Antineoplastic agents
100,Carvykti,ciltacabtagene autoleucel,ciltacabtagene autoleucel,Multiple Myeloma,
101,Hemgenix,etranacogene dezaparvovec,Etranacogene dezaparvovec,Hemophilia B,Blood coagulation factors
102,Steqeyma,ustekinumab,ustekinumab,Psoriasis,Immunosuppressants
103,Zoonotic Influenza Vaccine Seqirus,"Zoonotic influenza vaccine (H5N8) (surface antigen, inactivated, adjuvanted)",A/Astrakhan/3212/2020 (H5N8)-like strain (CBER-RG8A) (clade 2.3.4.4b),"Influenza A Virus, H5N8 Subtype",Vaccines
104,Zoely,nomegestrol;estradiol,Nomegestrol acetate;estradiol,Contraception,Sex hormones and modulators of the genital system
105,Winrevair,Sotatercept,sotatercept,"Hypertension, Pulmonary",Antihypertensives
106,Pomalidomide Zentiva,pomalidomide,Pomalidomide,Multiple Myeloma,Immunosuppressants
107,Ucedane,carglumic acid,carglumic acid,"Hyperammonemia;Amino Acid Metabolism, Inborn Errors",Other alimentary tract and metabolism products
108,Benepali,etanercept,etanercept,"Arthritis, Psoriatic;Arthritis, Rheumatoid;Psoriasis",Immunosuppressants
109,Orkambi,lumacaftor;ivacaftor,Lumacaftor;ivacaftor,Cystic Fibrosis,Other respiratory system products
110,Edistride,dapagliflozin,dapagliflozin propanediol monohydrate,"Diabetes Mellitus, Type 2;Heart Failure, Systolic;Heart Failure;Renal Insufficiency, Chronic",Drugs used in diabetes
111,Forxiga,dapagliflozin,dapagliflozin propanediol monohydrate,"Diabetes Mellitus, Type 2;Heart Failure, Systolic;Heart Failure;Renal Insufficiency, Chronic",Drugs used in diabetes
112,Xalkori,crizotinib,crizotinib,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
113,Pomalidomide Krka,pomalidomide,Pomalidomide,Multiple Myeloma,Immunosuppressants
114,Recarbrio,imipenem;cilastatin;relebactam,imipenem monohydrate;cilastatin sodium;relebactam monohydrate,Gram-Negative Bacterial Infections,Antibacterials for systemic use;Carbapenems
115,Celdoxome pegylated liposomal,doxorubicin hydrochloride,doxorubicin hydrochloride,"Breast Neoplasms;Ovarian Neoplasms;Multiple Myeloma;Sarcoma, Kaposi",Antineoplastic agents
116,Stelara,ustekinumab,ustekinumab,"Psoriasis;Arthritis, Psoriatic;Crohn Disease;Colitis, Ulcerative",Immunosuppressants
117,Yuflyma,adalimumab,adalimumab,"Arthritis, Rheumatoid;Arthritis, Psoriatic;Psoriasis;Spondylitis, Ankylosing;Uveitis;Hidradenitis Suppurativa;Colitis, Ulcerative;Crohn Disease;Arthritis, Juvenile Rheumatoid",Immunosuppressants
118,Entacapone Orion,entacapone,entacapone,Parkinson Disease,Anti-Parkinson drugs
119,Cegfila (previously Pegfilgrastim Mundipharma),pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
120,Padcev,enfortumab vedotin,Enfortumab vedotin,"Carcinoma, Transitional Cell;Urologic Neoplasms",Antineoplastic agents
121,Mayzent,siponimod,Siponimod fumaric acid,"Multiple Sclerosis, Relapsing-Remitting",Selective immunosuppressants
122,Loqtorzi,Toripalimab,Toripalimab,Nasopharyngeal Carcinoma;Esophageal Squamous Cell Carcinoma,Antineoplastic agents
123,Anzupgo,Delgocitinib,Delgocitinib,Dermatitis;Eczema,Other dermatological preparations
124,Eksunbi,ustekinumab,ustekinumab,"Crohn Disease;Colitis, Ulcerative;Psoriasis;Arthritis, Psoriatic",Immunosuppressants
125,Aripiprazole Sandoz,aripiprazole,aripiprazole,Schizophrenia;Bipolar Disorder,Psycholeptics
126,Orladeyo,berotralstat,berotralstat dihydrochloride,"Angioedemas, Hereditary",Other hematological agents
127,Repaglinide Accord,repaglinide,repaglinide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
128,Vyloy,Zolbetuximab,Zolbetuximab,Stomach Neoplasms;Esophageal Neoplasms,
129,Pemetrexed Accord,pemetrexed,pemetrexed disodium hemipentahydrate,"Carcinoma, Non-Small-Cell Lung;Mesothelioma",Antineoplastic agents
130,Mektovi,binimetinib,binimetinib,Melanoma,Antineoplastic agents
131,Braftovi,encorafenib,Encorafenib,Melanoma;Colorectal Neoplasms,Antineoplastic agents
132,Sugammadex Amomed,sugammadex,sugammadex sodium,Neuromuscular Blockade,All other therapeutic products
133,Insulin aspart Sanofi,insulin aspart,insulin aspart,Diabetes Mellitus,Drugs used in diabetes
134,Xydalba,dalbavancin,dalbavancin hydrochloride,"Soft Tissue Infections;Skin Diseases, Bacterial",Antibacterials for systemic use
135,ellaOne,ulipristal acetate,ulipristal,"Contraception, Postcoital",Sex hormones and modulators of the genital system;Emergency contraceptives
136,Pravafenix,fenofibrate;pravastatin,fenofibrate;Pravastatin,Dyslipidemias,Lipid modifying agents
137,Caprelsa,vandetanib,Vandetanib,Thyroid Neoplasms,Antineoplastic and immunomodulating agents
138,Amsparity,adalimumab,adalimumab,"Arthritis, Rheumatoid;Arthritis, Psoriatic;Psoriasis;Spondylitis, Ankylosing;Uveitis;Hidradenitis Suppurativa;Colitis, Ulcerative;Crohn Disease;Arthritis, Juvenile Rheumatoid",Immunosuppressants
139,Kayfanda,odevixibat,Odevixibat sesquihydrate,Pruritus;Alagille Syndrome,Bile and liver therapy
140,Eylea,aflibercept,aflibercept,Wet Macular Degeneration;Macular Edema;Diabetes Complications;Retinal Vein Occlusion,Ophthalmologicals
141,Imvanex,smallpox and monkeypox vaccine (Live Modified Vaccinia Virus Ankara),modified vaccinia Ankara - Bavarian Nordic (MVA-BN) virus,Smallpox Vaccine;Monkeypox virus,Other viral vaccines
142,Syfovre,pegcetacoplan,Pegcetacoplan,Macular Degeneration;Geographic Atrophy,Ophthalmologicals
143,Xeljanz,tofacitinib,Tofacitinib,"Arthritis, Rheumatoid",Immunosuppressants
144,Hetronifly,serplulimab,Serplulimab,Small Cell Lung Carcinoma,Antineoplastic agents
145,Iqirvo,Elafibranor,Elafibranor,"Liver Cirrhosis, Biliary",Bile and liver therapy
146,Pomalidomide Teva,pomalidomide,Pomalidomide,Multiple Myeloma,Immunosuppressants
147,Opuviz,aflibercept,aflibercept,Wet Macular Degeneration;Macular Edema;Diabetes Complications;Retinal Vein Occlusion,Ophthalmologicals
148,Afqlir,aflibercept,aflibercept,Wet Macular Degeneration;Macular Edema;Diabetes Complications;Retinal Vein Occlusion,Ophthalmologicals
149,Penbraya,"Meningococcal group A, B, C, W and Y vaccine",Neisseria meningitidis group C (strain C11) polysaccharide (de-o-acetylated) conjugated to tetanus toxoid;Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid carrier protein (MenABCWY);Neisseria meningitidis group B fHBP protein subfamily A;Neisseria meningitidis group B fHBP protein subfamily B;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid carrier protein;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid carrier protein,"Meningitis, Meningococcal",Meningococcal vaccines
150,Brukinsa,zanubrutinib,zanubrutinib,Waldenstrom Macroglobulinemia,Antineoplastic agents
151,Zabdeno,ebola vaccine (Ad26.ZEBOV-GP [recombinant]),Recombinant Adenovirus type 26 (Ad26) encoding the glycoprotein (GP) of the Ebola virus Zaire (ZEBOV) Mayinga strain,"Hemorrhagic Fever, Ebola",Vaccines
152,Theralugand,lutetium (177Lu) chloride,lutetium (177Lu) chloride,Radionuclide Imaging,Other therapeutic radiopharmaceuticals
153,Elahere,mirvetuximab soravtansine,Mirvetuximab soravtansine,Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms,Antineoplastic agents
154,Hympavzi,Marstacimab,Marstacimab,Hemophilia A;Hemophilia B,Antihemorrhagics
155,Durysta,bimatoprost,bimatoprost,"Glaucoma, Open-Angle;Ocular Hypertension",Ophthalmologicals
156,Ninlaro,ixazomib,ixazomib citrate,Multiple Myeloma,Antineoplastic agents
157,Imbruvica,ibrutinib,Ibrutinib,"Lymphoma, Mantle-Cell;Leukemia, Lymphocytic, Chronic, B-Cell",Antineoplastic agents;Protein kinase inhibitors
158,Rhokiinsa,netarsudil,Netarsudil,"Glaucoma, Open-Angle;Ocular Hypertension",Ophthalmologicals
159,Klisyri,tirbanibulin,tirbanibulin,"Keratosis, Actinic",Antibiotics and chemotherapeutics for dermatological use
160,Jyseleca,filgotinib,filgotinib maleate,"Arthritis, Rheumatoid",Immunosuppressants
161,Spikevax (previously COVID-19 Vaccine Moderna),COVID-19 mRNA vaccine,andusomeran;davesomeran;elasomeran;imelasomeran;SARS-CoV-2 JN.1 mRNA,COVID-19 virus infection,Vaccines
162,Ibrance,palbociclib,Palbociclib,Breast Neoplasms,Antineoplastic agents
163,Ajovy,fremanezumab,fremanezumab,Migraine Disorders,Calcitonin gene-related peptide (CGRP) antagonists
164,Omvoh,mirikizumab,Mirikizumab,"Colitis, Ulcerative",Immunosuppressants
165,Comtess,entacapone,entacapone,Parkinson Disease,Anti-Parkinson drugs
166,Jayempi,azathioprine,azathioprine,Graft Rejection,Immunosuppressants
167,Comtan,entacapone,entacapone,Parkinson Disease,Anti-Parkinson drugs
168,Peyona (previously Nymusa),caffeine,Caffeine citrate,Apnea,Psychoanaleptics
169,Hukyndra,adalimumab,adalimumab,"Arthritis, Psoriatic;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid;Colitis, Ulcerative;Crohn Disease;Hidradenitis Suppurativa;Psoriasis;Spondylitis, Ankylosing;Uveitis",Immunosuppressants
170,Ongentys,opicapone,opicapone,Parkinson Disease,Anti-Parkinson drugs
171,Tepkinly,epcoritamab,epcoritamab,"Lymphoma, Large B-Cell, Diffuse",Antineoplastic agents
172,Ontilyv,opicapone,opicapone,Parkinson Disease,Anti-Parkinson drugs
173,Pomalidomide Accord,pomalidomide,Pomalidomide,Multiple Myeloma,Immunosuppressants
174,Kisplyx,lenvatinib,lenvatinib mesilate,"Carcinoma, Renal Cell",Antineoplastic agents
175,Lenvima,lenvatinib,lenvatinib mesilate,Thyroid Neoplasms,Antineoplastic agents
176,Trumenba,"meningococcal group b vaccine (recombinant, adsorbed)",Neisseria meningitidis serogroup B fHbp (recombinant lipidated fHbp (factor H binding protein)) subfamily A; Neisseria meningitidis serogroup B fHbp (recombinant lipidated fHbp (factor H binding protein)) subfamily B,"Meningitis, Meningococcal",Bacterial vaccines;Meningococcal vaccines
177,Kerendia,finerenone,Finerenone,"Renal Insufficiency, Chronic;Diabetes Mellitus, Type 2",Agents acting on the renin-angiotensin system
178,Roctavian,Valoctocogene roxaparvovec,valoctocogene roxaparvovec,,Antihemorrhagics
179,Inflectra,infliximab,infliximab,"Arthritis, Psoriatic;Spondylitis, Ankylosing;Colitis, Ulcerative;Psoriasis;Crohn Disease;Arthritis, Rheumatoid",Immunosuppressants
180,Vemlidy,tenofovir alafenamide,tenofovir alafenamide fumarate,Hepatitis B,Antivirals for systemic use
181,Minjuvi,tafasitamab,Tafasitamab,"Lymphoma, Large B-Cell, Diffuse",Antineoplastic agents
182,Kalydeco,ivacaftor,ivacaftor,Cystic Fibrosis,Other respiratory system products
183,Suliqua,insulin glargine;lixisenatide,insulin glargine;lixisenatide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
184,Tecentriq,atezolizumab,atezolizumab,"Carcinoma, Transitional Cell;Carcinoma, Non-Small-Cell Lung;Urologic Neoplasms;Breast Neoplasms;Small Cell Lung Carcinoma",Antineoplastic agents
185,Bonviva,ibandronic acid,ibandronic acid,"Osteoporosis, Postmenopausal",Drugs for treatment of bone diseases
186,Bondronat,ibandronic acid,ibandronic acid,"Hypercalcemia;Breast Neoplasms;Neoplasm Metastasis;Fractures, Bone",Drugs for treatment of bone diseases
187,Tremfya,guselkumab,Guselkumab,Psoriasis,Immunosuppressants
188,Palforzia,"defatted powder of Arachis hypogaea L., semen (peanuts)","defatted powder of Arachis hypogaea L., semen (peanuts)",Peanut Hypersensitivity,Allergens
189,Keytruda,pembrolizumab,Pembrolizumab,"Melanoma;Hodgkin Disease;Carcinoma, Renal Cell;Carcinoma, Non-Small-Cell Lung;Carcinoma, Transitional Cell;Squamous Cell Carcinoma of Head and Neck;Urologic Neoplasms;Endometrial Neoplasms",Antineoplastic agents
190,Tauvid,Flortaucipir (18F),Flortaucipir (18F),Radionuclide Imaging,Diagnostic radiopharmaceuticals
191,Rybrevant,amivantamab,amivantamab,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
192,Teriparatide Sun,teriparatide,teriparatide,"Osteoporosis;Osteoporosis, Postmenopausal",Calcium homeostasis
193,Adenuric,febuxostat,febuxostat,Gout,Antigout preparations
194,Rimmyrah,ranibizumab,ranibizumab,"Wet Macular Degeneration;Macular Edema;Diabetes Complications;Myopia, Degenerative;Choroidal Neovascularization",Antineovascularisation agents
195,Flixabi,infliximab,infliximab,"Arthritis, Psoriatic;Spondylitis, Ankylosing;Colitis, Ulcerative;Arthritis, Rheumatoid;Crohn Disease;Psoriasis",Immunosuppressants
196,Byooviz,ranibizumab,ranibizumab,"Wet Macular Degeneration;Macular Edema;Diabetic Retinopathy;Myopia, Degenerative",Ophthalmologicals
197,Tolura,telmisartan,Telmisartan,Hypertension,"Angiotensin II antagonists, plain"
198,Dzuveo,sufentanil,sufentanil citrate,Pain,Anesthetics
199,VeraSeal,human fibrinogen;human thrombin,"human fibrinogen, human thrombin","Hemostasis, Surgical",Antihemorrhagics
200,Tofidence,tocilizumab,tocilizumab,"Arthritis, Rheumatoid;COVID-19 virus infection;Arthritis, Juvenile Rheumatoid",Immunosuppressants
201,Resolor,prucalopride,Prucalopride succinate,Constipation,Other drugs for constipation
202,Lopinavir/Ritonavir Viatris (previously Ritonavir Mylan),lopinavir;ritonavir,lopinavir;ritonavir,HIV Infections,Antivirals for systemic use
203,Xarelto,rivaroxaban,rivaroxaban,"Arthroplasty, Replacement;Venous Thromboembolism",Antithrombotic agents
204,Rozlytrek,entrectinib,Entrectinib,"Cancer;Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
205,Nilotinib Accord,nilotinib,nilotinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Antineoplastic agents
206,Fingolimod Accord,fingolimod,fingolimod hydrochlorideÿ,"Multiple Sclerosis, Relapsing-Remitting",Immunosuppressants;Selective immunosuppressants
207,Ritonavir Viatris (previously Ritonavir Mylan),ritonavir,ritonavir,HIV Infections,Antivirals for systemic use
208,Ibandronic acid Accord,ibandronic acid,ibandronic acid,Wounds and Injuries;Breast Diseases;Neoplastic Processes;Calcium Metabolism Disorders;Water-Electrolyte Imbalance,Drugs for treatment of bone diseases
